,filename,total_publications,total_positive_samples,total_negative_samples,total_neutral_samples
0,ipg100105,4299,0,2,0
1,ipg100112,3652,0,4,0
2,ipg100119,3473,0,6,0
3,ipg100126,3776,0,8,0
4,ipg100202,4471,0,1,0
5,ipg100209,3685,1,3,0
6,ipg100216,4484,0,11,0
7,ipg100223,4576,0,10,0
8,ipg100302,4562,0,4,0
9,ipg100309,3960,0,6,0
10,ipg100316,4863,0,17,0
11,ipg100323,4855,0,6,0
12,ipg100330,4877,0,6,0
13,ipg100406,4770,0,4,0
14,ipg100413,4864,0,4,0
15,ipg100420,4855,0,4,0
16,ipg100427,4998,0,6,0
17,ipg100504,4956,0,11,0
18,ipg100511,5061,0,6,0
19,ipg100518,5046,0,10,0
20,ipg100525,5074,0,2,0
21,ipg100601,5061,0,9,0
22,ipg100608,5049,0,10,0
23,ipg100615,5039,0,6,0
24,ipg100622,4163,0,5,0
25,ipg100629,5093,0,15,0
26,ipg100706,5090,0,6,0
27,ipg100713,5094,0,9,0
28,ipg100720,5072,0,3,0
29,ipg100727,4134,0,3,0
30,ipg100803,5070,0,12,0
31,ipg100810,5097,0,12,0
32,ipg100817,5131,0,11,0
33,ipg100824,5120,0,10,0
34,ipg100831,5099,0,11,0
35,ipg100907,5106,0,10,1
36,ipg100914,4898,0,13,1
37,ipg100921,5047,0,11,0
38,ipg100928,3963,0,3,0
39,ipg101005,4774,0,7,1
40,ipg101012,4820,0,10,0
41,ipg101019,4699,2,17,2
42,ipg101026,4865,1,12,1
43,ipg101102,4829,1,12,2
44,ipg101109,4817,1,18,1
45,ipg101116,4965,1,16,2
46,ipg101123,4933,0,19,1
47,ipg101130,4432,1,15,2
48,ipg101207,4930,1,18,2
49,ipg101214,4913,0,13,1
50,ipg101221,3065,1,13,1
51,ipg101228,5074,1,15,1
